family,genus,species,latin_name,common_name,xc_id,local_file_path,quality,duration
paridae,Periparus,ater,Periparus_ater,Coal Tit,1005219,paridae/Periparus_ater/1005219.mp3,A,0:18
paridae,Periparus,ater,Periparus_ater,Coal Tit,1001379,paridae/Periparus_ater/1001379.mp3,A,0:26
paridae,Periparus,ater,Periparus_ater,Coal Tit,1001378,paridae/Periparus_ater/1001378.mp3,A,0:22
paridae,Periparus,ater,Periparus_ater,Coal Tit,1040127,paridae/Periparus_ater/1040127.mp3,A,0:17
paridae,Periparus,ater,Periparus_ater,Coal Tit,986822,paridae/Periparus_ater/986822.mp3,A,0:23
paridae,Periparus,ater,Periparus_ater,Coal Tit,980800,paridae/Periparus_ater/980800.mp3,A,0:27
paridae,Periparus,ater,Periparus_ater,Coal Tit,1055982,paridae/Periparus_ater/1055982.mp3,A,0:14
paridae,Periparus,ater,Periparus_ater,Coal Tit,979133,paridae/Periparus_ater/979133.mp3,A,0:13
paridae,Poecile,atricapillus,Poecile_atricapillus,Black-capped Chickadee,994313,paridae/Poecile_atricapillus/994313.mp3,A,0:14
paridae,Poecile,atricapillus,Poecile_atricapillus,Black-capped Chickadee,939388,paridae/Poecile_atricapillus/939388.mp3,A,0:17
paridae,Periparus,ater,Periparus_ater,Coal Tit,1085336,paridae/Periparus_ater/1085336.mp3,A,0:27
paridae,Poecile,atricapillus,Poecile_atricapillus,Black-capped Chickadee,749980,paridae/Poecile_atricapillus/749980.mp3,A,0:24
paridae,Poecile,atricapillus,Poecile_atricapillus,Black-capped Chickadee,921474,paridae/Poecile_atricapillus/921474.mp3,A,0:23
paridae,Poecile,atricapillus,Poecile_atricapillus,Black-capped Chickadee,717105,paridae/Poecile_atricapillus/717105.mp3,A,0:25
paridae,Poecile,atricapillus,Poecile_atricapillus,Black-capped Chickadee,717519,paridae/Poecile_atricapillus/717519.mp3,A,0:23
paridae,Poecile,atricapillus,Poecile_atricapillus,Black-capped Chickadee,636533,paridae/Poecile_atricapillus/636533.mp3,A,0:16
paridae,Poecile,atricapillus,Poecile_atricapillus,Black-capped Chickadee,1012678,paridae/Poecile_atricapillus/1012678.mp3,A,0:15
paridae,Poecile,atricapillus,Poecile_atricapillus,Black-capped Chickadee,624458,paridae/Poecile_atricapillus/624458.mp3,A,0:22
paridae,Baeolophus,bicolor,Baeolophus_bicolor,Tufted Titmouse,1035994,paridae/Baeolophus_bicolor/1035994.mp3,A,0:16
paridae,Periparus,ater,Periparus_ater,Coal Tit,985198,paridae/Periparus_ater/985198.mp3,A,0:16
paridae,Poecile,atricapillus,Poecile_atricapillus,Black-capped Chickadee,624457,paridae/Poecile_atricapillus/624457.mp3,A,0:25
paridae,Baeolophus,bicolor,Baeolophus_bicolor,Tufted Titmouse,649331,paridae/Baeolophus_bicolor/649331.mp3,A,0:16
paridae,Baeolophus,bicolor,Baeolophus_bicolor,Tufted Titmouse,623003,paridae/Baeolophus_bicolor/623003.mp3,A,0:29
paridae,Baeolophus,bicolor,Baeolophus_bicolor,Tufted Titmouse,712980,paridae/Baeolophus_bicolor/712980.mp3,A,0:28
paridae,Baeolophus,bicolor,Baeolophus_bicolor,Tufted Titmouse,501232,paridae/Baeolophus_bicolor/501232.mp3,A,0:22
paridae,Baeolophus,bicolor,Baeolophus_bicolor,Tufted Titmouse,465256,paridae/Baeolophus_bicolor/465256.mp3,A,0:19
paridae,Baeolophus,bicolor,Baeolophus_bicolor,Tufted Titmouse,465058,paridae/Baeolophus_bicolor/465058.mp3,A,0:28
paridae,Baeolophus,bicolor,Baeolophus_bicolor,Tufted Titmouse,501231,paridae/Baeolophus_bicolor/501231.mp3,A,0:18
paridae,Poecile,carolinensis,Poecile_carolinensis,Carolina Chickadee,938770,paridae/Poecile_carolinensis/938770.mp3,A,0:27
paridae,Baeolophus,bicolor,Baeolophus_bicolor,Tufted Titmouse,316285,paridae/Baeolophus_bicolor/316285.mp3,A,0:21
paridae,Poecile,carolinensis,Poecile_carolinensis,Carolina Chickadee,870687,paridae/Poecile_carolinensis/870687.mp3,A,0:18
paridae,Poecile,carolinensis,Poecile_carolinensis,Carolina Chickadee,807462,paridae/Poecile_carolinensis/807462.mp3,A,0:28
paridae,Poecile,carolinensis,Poecile_carolinensis,Carolina Chickadee,483022,paridae/Poecile_carolinensis/483022.mp3,A,0:11
paridae,Poecile,carolinensis,Poecile_carolinensis,Carolina Chickadee,310196,paridae/Poecile_carolinensis/310196.mp3,A,0:10
paridae,Baeolophus,bicolor,Baeolophus_bicolor,Tufted Titmouse,895279,paridae/Baeolophus_bicolor/895279.mp3,A,0:27
paridae,Poecile,carolinensis,Poecile_carolinensis,Carolina Chickadee,309927,paridae/Poecile_carolinensis/309927.mp3,A,0:22
paridae,Poecile,carolinensis,Poecile_carolinensis,Carolina Chickadee,309925,paridae/Poecile_carolinensis/309925.mp3,A,0:16
paridae,Poecile,carolinensis,Poecile_carolinensis,Carolina Chickadee,955593,paridae/Poecile_carolinensis/955593.mp3,A,0:18
paridae,Lophophanes,cristatus,Lophophanes_cristatus,European Crested Tit,1011035,paridae/Lophophanes_cristatus/1011035.mp3,A,0:11
paridae,Poecile,carolinensis,Poecile_carolinensis,Carolina Chickadee,227271,paridae/Poecile_carolinensis/227271.mp3,A,0:27
paridae,Lophophanes,cristatus,Lophophanes_cristatus,European Crested Tit,909840,paridae/Lophophanes_cristatus/909840.mp3,A,0:18
paridae,Lophophanes,cristatus,Lophophanes_cristatus,European Crested Tit,1089421,paridae/Lophophanes_cristatus/1089421.mp3,A,0:19
paridae,Poecile,carolinensis,Poecile_carolinensis,Carolina Chickadee,933605,paridae/Poecile_carolinensis/933605.mp3,A,0:26
paridae,Lophophanes,cristatus,Lophophanes_cristatus,European Crested Tit,780340,paridae/Lophophanes_cristatus/780340.mp3,A,0:23
paridae,Lophophanes,cristatus,Lophophanes_cristatus,European Crested Tit,792594,paridae/Lophophanes_cristatus/792594.mp3,A,0:13
paridae,Lophophanes,cristatus,Lophophanes_cristatus,European Crested Tit,598507,paridae/Lophophanes_cristatus/598507.mp3,A,0:27
paridae,Lophophanes,cristatus,Lophophanes_cristatus,European Crested Tit,466026,paridae/Lophophanes_cristatus/466026.mp3,A,0:24
paridae,Lophophanes,cristatus,Lophophanes_cristatus,European Crested Tit,281650,paridae/Lophophanes_cristatus/281650.mp3,A,0:22
paridae,Lophophanes,cristatus,Lophophanes_cristatus,European Crested Tit,560387,paridae/Lophophanes_cristatus/560387.mp3,A,0:26
paridae,Poecile,gambeli,Poecile_gambeli,Mountain Chickadee,1029980,paridae/Poecile_gambeli/1029980.mp3,A,0:12
paridae,Poecile,gambeli,Poecile_gambeli,Mountain Chickadee,717724,paridae/Poecile_gambeli/717724.mp3,A,0:10
paridae,Poecile,gambeli,Poecile_gambeli,Mountain Chickadee,494394,paridae/Poecile_gambeli/494394.mp3,A,0:11
paridae,Poecile,gambeli,Poecile_gambeli,Mountain Chickadee,558338,paridae/Poecile_gambeli/558338.mp3,A,0:18
paridae,Poecile,gambeli,Poecile_gambeli,Mountain Chickadee,350692,paridae/Poecile_gambeli/350692.mp3,A,0:20
paridae,Poecile,gambeli,Poecile_gambeli,Mountain Chickadee,368496,paridae/Poecile_gambeli/368496.mp3,A,0:18
paridae,Poecile,gambeli,Poecile_gambeli,Mountain Chickadee,368495,paridae/Poecile_gambeli/368495.mp3,A,0:17
paridae,Poecile,gambeli,Poecile_gambeli,Mountain Chickadee,146190,paridae/Poecile_gambeli/146190.mp3,A,0:17
paridae,Poecile,gambeli,Poecile_gambeli,Mountain Chickadee,76625,paridae/Poecile_gambeli/76625.mp3,A,0:26
paridae,Baeolophus,ridgwayi,Baeolophus_ridgwayi,Juniper Titmouse,1035264,paridae/Baeolophus_ridgwayi/1035264.mp3,A,0:11
paridae,Baeolophus,ridgwayi,Baeolophus_ridgwayi,Juniper Titmouse,940558,paridae/Baeolophus_ridgwayi/940558.mp3,A,0:24
paridae,Baeolophus,ridgwayi,Baeolophus_ridgwayi,Juniper Titmouse,662822,paridae/Baeolophus_ridgwayi/662822.mp3,A,0:26
paridae,Lophophanes,cristatus,Lophophanes_cristatus,European Crested Tit,880754,paridae/Lophophanes_cristatus/880754.mp3,A,0:18
paridae,Baeolophus,ridgwayi,Baeolophus_ridgwayi,Juniper Titmouse,350901,paridae/Baeolophus_ridgwayi/350901.mp3,A,0:16
paridae,Baeolophus,ridgwayi,Baeolophus_ridgwayi,Juniper Titmouse,293944,paridae/Baeolophus_ridgwayi/293944.mp3,A,0:18
paridae,Baeolophus,ridgwayi,Baeolophus_ridgwayi,Juniper Titmouse,15222,paridae/Baeolophus_ridgwayi/15222.mp3,A,0:16
paridae,Baeolophus,ridgwayi,Baeolophus_ridgwayi,Juniper Titmouse,77786,paridae/Baeolophus_ridgwayi/77786.mp3,A,0:17
paridae,Pardaliparus,venustulus,Pardaliparus_venustulus,Yellow-bellied Tit,1007916,paridae/Pardaliparus_venustulus/1007916.mp3,A,0:18
paridae,Pardaliparus,venustulus,Pardaliparus_venustulus,Yellow-bellied Tit,922728,paridae/Pardaliparus_venustulus/922728.mp3,A,0:14
paridae,Pardaliparus,venustulus,Pardaliparus_venustulus,Yellow-bellied Tit,916362,paridae/Pardaliparus_venustulus/916362.mp3,A,0:23
paridae,Baeolophus,ridgwayi,Baeolophus_ridgwayi,Juniper Titmouse,898875,paridae/Baeolophus_ridgwayi/898875.mp3,A,0:15
paridae,Pardaliparus,venustulus,Pardaliparus_venustulus,Yellow-bellied Tit,892313,paridae/Pardaliparus_venustulus/892313.mp3,A,0:25
paridae,Pardaliparus,venustulus,Pardaliparus_venustulus,Yellow-bellied Tit,911440,paridae/Pardaliparus_venustulus/911440.mp3,A,0:19
paridae,Pardaliparus,venustulus,Pardaliparus_venustulus,Yellow-bellied Tit,1083216,paridae/Pardaliparus_venustulus/1083216.mp3,A,0:29
paridae,Pardaliparus,venustulus,Pardaliparus_venustulus,Yellow-bellied Tit,21575,paridae/Pardaliparus_venustulus/21575.mp3,A,0:13
paridae,Pardaliparus,venustulus,Pardaliparus_venustulus,Yellow-bellied Tit,892312,paridae/Pardaliparus_venustulus/892312.mp3,A,0:24
paridae,Baeolophus,wollweberi,Baeolophus_wollweberi,Bridled Titmouse,999600,paridae/Baeolophus_wollweberi/999600.mp3,A,0:22
paridae,Baeolophus,wollweberi,Baeolophus_wollweberi,Bridled Titmouse,348632,paridae/Baeolophus_wollweberi/348632.mp3,A,0:26
paridae,Baeolophus,wollweberi,Baeolophus_wollweberi,Bridled Titmouse,235063,paridae/Baeolophus_wollweberi/235063.mp3,A,0:15
paridae,Baeolophus,wollweberi,Baeolophus_wollweberi,Bridled Titmouse,314244,paridae/Baeolophus_wollweberi/314244.mp3,A,0:23
paridae,Baeolophus,wollweberi,Baeolophus_wollweberi,Bridled Titmouse,48156,paridae/Baeolophus_wollweberi/48156.mp3,A,0:16
paridae,Baeolophus,wollweberi,Baeolophus_wollweberi,Bridled Titmouse,351622,paridae/Baeolophus_wollweberi/351622.mp3,A,0:26
paridae,Baeolophus,wollweberi,Baeolophus_wollweberi,Bridled Titmouse,18066,paridae/Baeolophus_wollweberi/18066.mp3,A,0:18
paridae,Baeolophus,ridgwayi,Baeolophus_ridgwayi,Juniper Titmouse,898874,paridae/Baeolophus_ridgwayi/898874.mp3,A,0:23
paridae,Baeolophus,inornatus,Baeolophus_inornatus,Oak Titmouse,357029,paridae/Baeolophus_inornatus/357029.mp3,A,0:15
paridae,Baeolophus,wollweberi,Baeolophus_wollweberi,Bridled Titmouse,34610,paridae/Baeolophus_wollweberi/34610.mp3,A,0:26
paridae,Baeolophus,inornatus,Baeolophus_inornatus,Oak Titmouse,149462,paridae/Baeolophus_inornatus/149462.mp3,A,0:16
paridae,Baeolophus,inornatus,Baeolophus_inornatus,Oak Titmouse,307084,paridae/Baeolophus_inornatus/307084.mp3,A,0:29
paridae,Baeolophus,inornatus,Baeolophus_inornatus,Oak Titmouse,149456,paridae/Baeolophus_inornatus/149456.mp3,A,0:21
paridae,Baeolophus,inornatus,Baeolophus_inornatus,Oak Titmouse,4972,paridae/Baeolophus_inornatus/4972.mp3,A,0:22
paridae,Baeolophus,inornatus,Baeolophus_inornatus,Oak Titmouse,306135,paridae/Baeolophus_inornatus/306135.mp3,A,0:28
paridae,Baeolophus,inornatus,Baeolophus_inornatus,Oak Titmouse,72235,paridae/Baeolophus_inornatus/72235.mp3,A,0:28
paridae,Baeolophus,inornatus,Baeolophus_inornatus,Oak Titmouse,980363,paridae/Baeolophus_inornatus/980363.mp3,A,0:23
fringillidae,Fringilla,coelebs,Fringilla_coelebs,Common Chaffinch,1027227,fringillidae/Fringilla_coelebs/1027227.mp3,A,0:23
fringillidae,Fringilla,coelebs,Fringilla_coelebs,Common Chaffinch,1027808,fringillidae/Fringilla_coelebs/1027808.mp3,A,0:26
fringillidae,Fringilla,coelebs,Fringilla_coelebs,Common Chaffinch,976074,fringillidae/Fringilla_coelebs/976074.mp3,A,0:14
fringillidae,Fringilla,coelebs,Fringilla_coelebs,Common Chaffinch,993952,fringillidae/Fringilla_coelebs/993952.mp3,A,0:21
fringillidae,Fringilla,coelebs,Fringilla_coelebs,Common Chaffinch,910422,fringillidae/Fringilla_coelebs/910422.mp3,A,0:21
fringillidae,Fringilla,coelebs,Fringilla_coelebs,Common Chaffinch,1086253,fringillidae/Fringilla_coelebs/1086253.mp3,A,0:24
fringillidae,Fringilla,coelebs,Fringilla_coelebs,Common Chaffinch,908635,fringillidae/Fringilla_coelebs/908635.mp3,A,0:21
fringillidae,Fringilla,coelebs,Fringilla_coelebs,Common Chaffinch,1086254,fringillidae/Fringilla_coelebs/1086254.mp3,A,0:28
fringillidae,Carpodacus,erythrinus,Carpodacus_erythrinus,Common Rosefinch,1063128,fringillidae/Carpodacus_erythrinus/1063128.mp3,A,0:12
fringillidae,Carpodacus,erythrinus,Carpodacus_erythrinus,Common Rosefinch,1028407,fringillidae/Carpodacus_erythrinus/1028407.mp3,A,0:19
fringillidae,Carpodacus,erythrinus,Carpodacus_erythrinus,Common Rosefinch,1028404,fringillidae/Carpodacus_erythrinus/1028404.mp3,A,0:13
fringillidae,Fringilla,coelebs,Fringilla_coelebs,Common Chaffinch,961538,fringillidae/Fringilla_coelebs/961538.mp3,A,0:27
fringillidae,Fringilla,coelebs,Fringilla_coelebs,Common Chaffinch,904601,fringillidae/Fringilla_coelebs/904601.mp3,A,0:13
fringillidae,Carpodacus,erythrinus,Carpodacus_erythrinus,Common Rosefinch,1028406,fringillidae/Carpodacus_erythrinus/1028406.mp3,A,0:29
fringillidae,Carpodacus,erythrinus,Carpodacus_erythrinus,Common Rosefinch,1027261,fringillidae/Carpodacus_erythrinus/1027261.mp3,A,0:28
fringillidae,Carpodacus,erythrinus,Carpodacus_erythrinus,Common Rosefinch,917336,fringillidae/Carpodacus_erythrinus/917336.mp3,A,0:17
fringillidae,Carpodacus,erythrinus,Carpodacus_erythrinus,Common Rosefinch,1013654,fringillidae/Carpodacus_erythrinus/1013654.mp3,A,0:26
fringillidae,Carpodacus,erythrinus,Carpodacus_erythrinus,Common Rosefinch,917082,fringillidae/Carpodacus_erythrinus/917082.mp3,A,0:14
fringillidae,Fringilla,montifringilla,Fringilla_montifringilla,Brambling,650195,fringillidae/Fringilla_montifringilla/650195.mp3,A,0:19
fringillidae,Fringilla,montifringilla,Fringilla_montifringilla,Brambling,1008176,fringillidae/Fringilla_montifringilla/1008176.mp3,A,0:25
fringillidae,Fringilla,montifringilla,Fringilla_montifringilla,Brambling,571294,fringillidae/Fringilla_montifringilla/571294.mp3,A,0:29
fringillidae,Fringilla,montifringilla,Fringilla_montifringilla,Brambling,485159,fringillidae/Fringilla_montifringilla/485159.mp3,A,0:13
fringillidae,Carpodacus,erythrinus,Carpodacus_erythrinus,Common Rosefinch,1008459,fringillidae/Carpodacus_erythrinus/1008459.mp3,A,0:16
fringillidae,Fringilla,montifringilla,Fringilla_montifringilla,Brambling,424094,fringillidae/Fringilla_montifringilla/424094.mp3,A,0:19
fringillidae,Carpodacus,erythrinus,Carpodacus_erythrinus,Common Rosefinch,915844,fringillidae/Carpodacus_erythrinus/915844.mp3,A,0:23
fringillidae,Fringilla,montifringilla,Fringilla_montifringilla,Brambling,336664,fringillidae/Fringilla_montifringilla/336664.mp3,A,0:27
fringillidae,Fringilla,montifringilla,Fringilla_montifringilla,Brambling,36323,fringillidae/Fringilla_montifringilla/36323.mp3,A,0:23
fringillidae,Fringilla,montifringilla,Fringilla_montifringilla,Brambling,412649,fringillidae/Fringilla_montifringilla/412649.mp3,A,0:25
fringillidae,Pinicola,enucleator,Pinicola_enucleator,Pine Grosbeak,895942,fringillidae/Pinicola_enucleator/895942.mp3,A,0:18
fringillidae,Pinicola,enucleator,Pinicola_enucleator,Pine Grosbeak,776618,fringillidae/Pinicola_enucleator/776618.mp3,A,0:23
fringillidae,Pinicola,enucleator,Pinicola_enucleator,Pine Grosbeak,741326,fringillidae/Pinicola_enucleator/741326.mp3,A,0:27
fringillidae,Pinicola,enucleator,Pinicola_enucleator,Pine Grosbeak,522778,fringillidae/Pinicola_enucleator/522778.mp3,A,0:27
fringillidae,Pinicola,enucleator,Pinicola_enucleator,Pine Grosbeak,424092,fringillidae/Pinicola_enucleator/424092.mp3,A,0:27
fringillidae,Pinicola,enucleator,Pinicola_enucleator,Pine Grosbeak,424091,fringillidae/Pinicola_enucleator/424091.mp3,A,0:23
fringillidae,Pyrrhula,pyrrhula,Pyrrhula_pyrrhula,Eurasian Bullfinch,700050,fringillidae/Pyrrhula_pyrrhula/700050.mp3,A,0:12
fringillidae,Pyrrhula,pyrrhula,Pyrrhula_pyrrhula,Eurasian Bullfinch,693250,fringillidae/Pyrrhula_pyrrhula/693250.mp3,A,0:19
fringillidae,Pyrrhula,pyrrhula,Pyrrhula_pyrrhula,Eurasian Bullfinch,626678,fringillidae/Pyrrhula_pyrrhula/626678.mp3,A,0:20
fringillidae,Pyrrhula,pyrrhula,Pyrrhula_pyrrhula,Eurasian Bullfinch,377651,fringillidae/Pyrrhula_pyrrhula/377651.mp3,A,0:28
fringillidae,Pyrrhula,pyrrhula,Pyrrhula_pyrrhula,Eurasian Bullfinch,377650,fringillidae/Pyrrhula_pyrrhula/377650.mp3,A,0:24
fringillidae,Pyrrhula,pyrrhula,Pyrrhula_pyrrhula,Eurasian Bullfinch,281799,fringillidae/Pyrrhula_pyrrhula/281799.mp3,A,0:20
fringillidae,Pyrrhula,pyrrhula,Pyrrhula_pyrrhula,Eurasian Bullfinch,217379,fringillidae/Pyrrhula_pyrrhula/217379.mp3,A,0:15
fringillidae,Coccothraustes,coccothraustes,Coccothraustes_coccothraustes,Hawfinch,983067,fringillidae/Coccothraustes_coccothraustes/983067.mp3,A,0:21
fringillidae,Pyrrhula,pyrrhula,Pyrrhula_pyrrhula,Eurasian Bullfinch,129200,fringillidae/Pyrrhula_pyrrhula/129200.mp3,A,0:22
fringillidae,Coccothraustes,coccothraustes,Coccothraustes_coccothraustes,Hawfinch,724320,fringillidae/Coccothraustes_coccothraustes/724320.mp3,A,0:29
fringillidae,Pinicola,enucleator,Pinicola_enucleator,Pine Grosbeak,1014517,fringillidae/Pinicola_enucleator/1014517.mp3,A,0:28
fringillidae,Coccothraustes,coccothraustes,Coccothraustes_coccothraustes,Hawfinch,713042,fringillidae/Coccothraustes_coccothraustes/713042.mp3,A,0:24
fringillidae,Coccothraustes,coccothraustes,Coccothraustes_coccothraustes,Hawfinch,521806,fringillidae/Coccothraustes_coccothraustes/521806.mp3,A,0:28
fringillidae,Coccothraustes,coccothraustes,Coccothraustes_coccothraustes,Hawfinch,307955,fringillidae/Coccothraustes_coccothraustes/307955.mp3,A,0:15
fringillidae,Pinicola,enucleator,Pinicola_enucleator,Pine Grosbeak,1014516,fringillidae/Pinicola_enucleator/1014516.mp3,A,0:29
fringillidae,Coccothraustes,coccothraustes,Coccothraustes_coccothraustes,Hawfinch,363825,fringillidae/Coccothraustes_coccothraustes/363825.mp3,A,0:22
fringillidae,Hesperiphona,vespertina,Hesperiphona_vespertina,Evening Grosbeak,940559,fringillidae/Hesperiphona_vespertina/940559.mp3,A,0:23
fringillidae,Rhodopechys,sanguineus,Rhodopechys_sanguineus,Asian Crimson-winged Finch,972045,fringillidae/Rhodopechys_sanguineus/972045.mp3,A,0:10
fringillidae,Hesperiphona,vespertina,Hesperiphona_vespertina,Evening Grosbeak,930885,fringillidae/Hesperiphona_vespertina/930885.mp3,A,0:28
fringillidae,Rhodopechys,sanguineus,Rhodopechys_sanguineus,Asian Crimson-winged Finch,350469,fringillidae/Rhodopechys_sanguineus/350469.mp3,A,0:21
fringillidae,Rhodopechys,sanguineus,Rhodopechys_sanguineus,Asian Crimson-winged Finch,972047,fringillidae/Rhodopechys_sanguineus/972047.mp3,A,0:25
fringillidae,Hesperiphona,vespertina,Hesperiphona_vespertina,Evening Grosbeak,1013737,fringillidae/Hesperiphona_vespertina/1013737.mp3,A,0:29
phylloscopidae,Phylloscopus,trochilus,Phylloscopus_trochilus,Willow Warbler,938543,phylloscopidae/Phylloscopus_trochilus/938543.mp3,A,0:16
phylloscopidae,Phylloscopus,trochilus,Phylloscopus_trochilus,Willow Warbler,870833,phylloscopidae/Phylloscopus_trochilus/870833.mp3,A,0:26
phylloscopidae,Phylloscopus,trochilus,Phylloscopus_trochilus,Willow Warbler,985809,phylloscopidae/Phylloscopus_trochilus/985809.mp3,A,0:19
phylloscopidae,Phylloscopus,trochilus,Phylloscopus_trochilus,Willow Warbler,838290,phylloscopidae/Phylloscopus_trochilus/838290.mp3,A,0:27
phylloscopidae,Phylloscopus,trochilus,Phylloscopus_trochilus,Willow Warbler,800704,phylloscopidae/Phylloscopus_trochilus/800704.mp3,A,0:28
phylloscopidae,Phylloscopus,trochilus,Phylloscopus_trochilus,Willow Warbler,938544,phylloscopidae/Phylloscopus_trochilus/938544.mp3,A,0:29
phylloscopidae,Phylloscopus,trochilus,Phylloscopus_trochilus,Willow Warbler,798800,phylloscopidae/Phylloscopus_trochilus/798800.mp3,A,0:26
phylloscopidae,Phylloscopus,trochilus,Phylloscopus_trochilus,Willow Warbler,769197,phylloscopidae/Phylloscopus_trochilus/769197.mp3,A,0:15
phylloscopidae,Phylloscopus,bonelli,Phylloscopus_bonelli,Western Bonelli's Warbler,1034502,phylloscopidae/Phylloscopus_bonelli/1034502.mp3,A,0:24
phylloscopidae,Phylloscopus,bonelli,Phylloscopus_bonelli,Western Bonelli's Warbler,999826,phylloscopidae/Phylloscopus_bonelli/999826.mp3,A,0:18
phylloscopidae,Phylloscopus,bonelli,Phylloscopus_bonelli,Western Bonelli's Warbler,914737,phylloscopidae/Phylloscopus_bonelli/914737.mp3,A,0:25
phylloscopidae,Phylloscopus,bonelli,Phylloscopus_bonelli,Western Bonelli's Warbler,1008595,phylloscopidae/Phylloscopus_bonelli/1008595.mp3,A,0:20
phylloscopidae,Phylloscopus,trochilus,Phylloscopus_trochilus,Willow Warbler,1085903,phylloscopidae/Phylloscopus_trochilus/1085903.mp3,A,0:25
phylloscopidae,Phylloscopus,trochilus,Phylloscopus_trochilus,Willow Warbler,855110,phylloscopidae/Phylloscopus_trochilus/855110.mp3,A,0:24
phylloscopidae,Phylloscopus,bonelli,Phylloscopus_bonelli,Western Bonelli's Warbler,909411,phylloscopidae/Phylloscopus_bonelli/909411.mp3,A,0:17
phylloscopidae,Phylloscopus,bonelli,Phylloscopus_bonelli,Western Bonelli's Warbler,769307,phylloscopidae/Phylloscopus_bonelli/769307.mp3,A,0:26
